"return_sequence","returned_batch_id","returned_at_hkt","batch_kind","source_ai_batch_id","prompt_version","model_id","surface","position","candidate_id","pool_position","selection_role","question","preview","body","domain","topic_key","question_job","content_horizon","event_family","claim_mode","event_hypothesis_summary","primary_time_window_key","referenced_window_keys","valid_from","valid_until","fact_refs"
"1","27e17519-90d8-491e-8b13-42633ab508fb","2026-08-05T14:40:42+08:00","ai","27e17519-90d8-491e-8b13-42633ab508fb","recommendation_prompt_v5","gemini-3-flash-preview","deck","0","737330e3-a2de-41ed-9928-c885dc9bdea6","0","p1_mingli_change","8月7日后，人际关系会迎来哪些新转机？","立秋将至，申子半合引动妻宫，预示着社交与情感层面的新动态。","随着丙申月的到来，申金与日支子水形成半合，这通常意味着如果你目前单身，可能会通过社交活动或朋友介绍结识新的异性。对于已有伴侣的人，这不仅是增进感情的好时机，也利于在事业上获得他人的支持与合作，整体社交氛围趋于活跃。","love","new_connection","forecast","month","new_connection","possibility","丙申月申子半合引动妻宫，利于社交拓展与新缘分结识。","liuyue:2026-08-07:丙申","liuyue:2026-08-07:丙申","2026-08-07","2026-09-06","time:liuyue:2026-08-07:丙申:interaction:liuyue_to_natal:branch_half_harmony:liuyue::丙申__natal_pillar:day:庚子 | time:liuyue:2026-08-07:丙申:interaction:liuyue_to_natal:stem_control_clash:liuyue::丙申__natal_pillar:day:庚子"
"2","27e17519-90d8-491e-8b13-42633ab508fb","2026-08-05T14:40:42+08:00","ai","27e17519-90d8-491e-8b13-42633ab508fb","recommendation_prompt_v5","gemini-3-flash-preview","deck","1","3044f45e-1409-453d-80bc-2fe141e993b0","1","p1_mingli_change","为何近期总感到精力不济且睡眠不安？","当前未土穿害子水，水火失衡易导致身体节奏紊乱。","目前正处于乙未月，未土穿害日支子水，子水受损容易影响肾脏、膀胱系统及睡眠质量。如果你近期感到腰酸、易疲劳或入睡困难，建议减少熬夜，并适当补充水分。在情绪上也要避免过度焦虑，保持平和的心态有助于缓解这种命理上的穿害压力。","health","energy_and_rhythm","act","month","friction","conditional","乙未月子未相穿，需留意肾脏系统健康与睡眠质量。","liuyue:2026-07-07:乙未","liuyue:2026-07-07:乙未 | dayun:2025:癸未","2026-07-07","2026-08-06","time:liuyue:2026-07-07:乙未:interaction:liuyue_to_natal:branch_piercing:liuyue::乙未__natal_pillar:day:庚子 | time:dayun:2025:癸未:interaction:dayun_to_natal:branch_piercing:dayun::癸未__natal_pillar:day:庚子"
"3","27e17519-90d8-491e-8b13-42633ab508fb","2026-08-05T14:40:42+08:00","ai","27e17519-90d8-491e-8b13-42633ab508fb","recommendation_prompt_v5","gemini-3-flash-preview","deck","2","e11d0b5b-c4bb-465c-8b92-adc0c5fe96ad","5","p1_mingli_change","下个月为何不建议进行大额的投资或消费？","申金穿害亥水财源，预示着下月财务流向可能出现意外干扰。","8月7日进入丙申月后，流月支申金会穿害你原局中的亥水（食神，即财源）。这种“穿”的关系往往代表计划外的支出或因判断失误导致的财务损失。如果你有投资理财的打算，建议避开此月，或者在做决策前多听取专业意见，避免因一时冲动而造成不必要的损耗。","wealth","spending_and_risk","forecast","month","friction","possibility","丙申月申亥相穿，食神受损，需防范因决策失误导致的钱财耗散。","liuyue:2026-08-07:丙申","liuyue:2026-08-07:丙申","2026-08-07","2026-09-06","time:liuyue:2026-08-07:丙申:interaction:liuyue_to_natal:branch_piercing:liuyue::丙申__natal_pillar:hour:丁亥 | time:liuyue:2026-08-07:丙申:interaction:liuyue_to_natal:branch_piercing:liuyue::丙申__natal_pillar:year:乙亥"
"4","27e17519-90d8-491e-8b13-42633ab508fb","2026-08-05T14:40:42+08:00","ai","27e17519-90d8-491e-8b13-42633ab508fb","recommendation_prompt_v5","gemini-3-flash-preview","deck","3","b9740b7f-2607-4d9f-9ee3-f6acf529aaac","7","p1_mingli_change","9月职场中，哪些潜在的人际摩擦需要提前防范？","酉金穿害月支戌土，预示着职场内部可能出现不和谐的杂音。","9月丁酉月，流月支酉金与你月令戌土发生穿害。月令代表职场环境，这种关系暗示你可能会遇到同事间的竞争公开化，或是有人在背后议论。建议在此期间保持低调，专注于自己的工作任务，不要卷入办公室政治。在沟通时尽量留档存证，以防因误会引发的责任推诿。","career","workplace_relationships","forecast","month","friction","possibility","丁酉月酉戌相穿，需警惕职场中的口舌是非或同事间的不和。","liuyue:2026-09-07:丁酉","liuyue:2026-09-07:丁酉","2026-09-07","2026-10-07","time:liuyue:2026-09-07:丁酉:interaction:liuyue_to_natal:branch_piercing:liuyue::丁酉__natal_pillar:month:丙戌 | time:liuyue:2026-09-07:丁酉:interaction:liuyue_to_natal:branch_half_meeting:liuyue::丁酉__natal_pillar:month:丙戌"
"5","27e17519-90d8-491e-8b13-42633ab508fb","2026-08-05T14:40:42+08:00","ai","27e17519-90d8-491e-8b13-42633ab508fb","recommendation_prompt_v5","gemini-3-flash-preview","deck","4","7ef50e18-5f96-4cea-92cc-044735330dc6","8","p1_mingli_change","10月面对诱人的投资机会，你该如何抉择？","戌未相刑引动大运，此时的财务直觉可能并不完全可靠。","10月戊戌月，流月与大运癸未发生刑破，同时戊土枭神克制癸水伤官。这在命理上代表思维容易陷入死胡同，或被不实信息误导。如果你在这个月遇到看似高回报的投资机会，务必保持警惕。此时最稳妥的策略是收缩战线，守住现有的财富积累，而非盲目扩张，避免因小失大。","wealth","money_decision","act","month","adjustment","conditional","戊戌月枭神夺食且刑动大运，财务决策需保持极度冷静。","liuyue:2026-10-08:戊戌","liuyue:2026-10-08:戊戌","2026-10-08","2026-11-06","time:liuyue:2026-10-08:戊戌:interaction:liuyue_to_dayun:stem_five_combination:dayun::癸未__liuyue::戊戌 | time:liuyue:2026-10-08:戊戌:interaction:liuyue_to_dayun:branch_punishment:dayun::癸未__liuyue::戊戌 | time:liuyue:2026-10-08:戊戌:interaction:liuyue_to_dayun:branch_break:dayun::癸未__liuyue::戊戌"
"6","27e17519-90d8-491e-8b13-42633ab508fb","2026-08-05T14:40:42+08:00","ai","27e17519-90d8-491e-8b13-42633ab508fb","recommendation_prompt_v5","gemini-3-flash-preview","deck","5","837216b6-4745-4fdc-b052-04c3c7ecbb91","9","p1_mingli_change","11月为何需要特别关注你的情绪与肠胃健康？","亥水自刑加剧了内在的消耗，情绪调节成为本月的健康关键。","进入11月己亥月，流月与原局年、时支构成亥亥自刑。自刑往往代表一种自我纠结、思虑过重的状态，这种心理压力极易转化为生理上的不适，尤其是肠胃系统。建议你在这个月多参加户外活动，分散注意力，饮食上以清淡易消化为主，避免因情绪化进食给身体带来负担。","health","recovery_and_balance","act","month","friction","conditional","己亥月引动亥亥自刑，情绪波动易引发肠胃或消化系统不适。","liuyue:2026-11-07:己亥","liuyue:2026-11-07:己亥","2026-11-07","2026-12-06","time:liuyue:2026-11-07:己亥:interaction:liuyue_to_natal:branch_self_punishment:liuyue::己亥__natal_pillar:hour:丁亥__natal_pillar:year:乙亥 | time:liuyue:2026-11-07:己亥:interaction:liuyue_to_natal:branch_same:liuyue::己亥__natal_pillar:hour:丁亥__natal_pillar:year:乙亥"
"7","27e17519-90d8-491e-8b13-42633ab508fb","2026-08-05T14:40:42+08:00","ai","27e17519-90d8-491e-8b13-42633ab508fb","recommendation_prompt_v5","gemini-3-flash-preview","deck","6","344f387c-2096-45e2-9b2c-b7decfeac16b","10","p1_mingli_change","年底的情感风暴中，你该如何稳住自己的阵脚？","庚子月与日柱伏吟且冲克流年午火，情感矛盾易在此时集中爆发。","12月庚子月，流月与你的日柱完全相同（伏吟），且加剧了与流年丙午的子午相冲。这预示着年底你的情感生活可能会出现一些旧事重提的矛盾，或是面临去留的重大抉择。如果你珍视当下的关系，建议采取更加包容的态度，主动沟通而非冷战，用理性的力量去化解命理上的冲克压力。","love","conflict_and_repair","forecast","month","friction","possibility","庚子月伏吟日柱并冲流年，情感关系可能面临年底的终极考验。","liuyue:2026-12-07:庚子","liuyue:2026-12-07:庚子","2026-12-07","2027-01-04","time:liuyue:2026-12-07:庚子:interaction:liuyue_to_natal:branch_same:liuyue::庚子__natal_pillar:day:庚子 | time:liuyue:2026-12-07:庚子:interaction:liuyue_to_liunian:branch_clash:liunian::丙午__liuyue::庚子"
"8","27e17519-90d8-491e-8b13-42633ab508fb","2026-08-05T14:40:42+08:00","ai","27e17519-90d8-491e-8b13-42633ab508fb","recommendation_prompt_v5","gemini-3-flash-preview","deck","7","392a4b0e-f41a-4d26-8769-2705370f2dc4","11","p1_mingli_change","2027年初为何需要格外警惕财务风险？","辛丑月引动丑未戌三刑，财务与资源的分配将面临严峻考验。","2027年1月进入辛丑月，与原局及大运构成丑未戌三刑。这在命理上常代表内部矛盾或资源争夺。如果你有投资计划或大额支出，建议暂缓执行。此阶段容易因合同纠纷或他人牵连导致钱财损耗，务必保持账目清晰，谨慎理财，不要轻易为他人作保或进行不透明的资金往来。","wealth","spending_and_risk","act","month","friction","conditional","辛丑月引动丑未戌三刑，需防范因合同、担保或他人牵连导致的损财。","liuyue:2027-01-05:辛丑","liuyue:2027-01-05:辛丑","2027-01-05","2027-02-03","time:liuyue:2027-01-05:辛丑:interaction:liuyue_to_mixed:branch_three_punishment:dayun::癸未__liuyue::辛丑__natal_pillar:month:丙戌 | time:liuyue:2027-01-05:辛丑:interaction:liuyue_to_natal:branch_punishment:liuyue::辛丑__natal_pillar:month:丙戌 | time:liuyue:2027-01-05:辛丑:interaction:liuyue_to_dayun:branch_punishment:dayun::癸未__liuyue::辛丑"
"9","27e17519-90d8-491e-8b13-42633ab508fb","2026-08-05T14:40:42+08:00","ai","27e17519-90d8-491e-8b13-42633ab508fb","recommendation_prompt_v5","gemini-3-flash-preview","center","0","17a4b89d-aa88-4c10-be6a-512480ad3aea","2","p1_mingli_change","2026年为何感到感情与自我意志的剧烈碰撞？","丙午流年与日柱庚子发生天克地冲，这是今年情感波动的核心逻辑。","今年流年丙午与你的日柱庚子构成天克地冲，子午冲直接作用于夫妻宫。这预示着如果你已有伴侣，双方在价值观或生活习惯上可能出现较大分歧，容易产生突发性的争执。建议在面对冲突时保持冷静，避免在情绪激动时做出重大决定，以柔克刚是今年的相处之道。","love","separation_risk","explain","year","friction","conditional","丙午流年子午相冲，夫妻宫受动，情感关系易生突发变数。","liunian:2026:丙午","liunian:2026:丙午","2026-02-04","2027-02-03","time:liunian:2026:丙午:interaction:liunian_to_natal:branch_clash:liunian::丙午__natal_pillar:day:庚子 | time:liunian:2026:丙午:interaction:liunian_to_natal:stem_control_clash:liunian::丙午__natal_pillar:day:庚子"
"10","27e17519-90d8-491e-8b13-42633ab508fb","2026-08-05T14:40:42+08:00","ai","27e17519-90d8-491e-8b13-42633ab508fb","recommendation_prompt_v5","gemini-3-flash-preview","center","1","2989d4ba-84bf-4a83-a6cf-3e7c82c56f86","3","p2_baseline","你在感情中为何总是那个更看重承诺的人？","原局乙庚相合，正财合身决定了你稳健、务实的情感底色。","在你的先天命盘中，日主庚金与年干乙木正财相合。这种“财来合我”的结构，意味着你对感情的态度非常务实，倾向于寻找能够长期相伴、共同经营生活的伴侣。你不仅看重情感的深度，更看重双方在现实生活中的契合度与责任分担，是典型的传统责任型性格。","love","emotional_pattern","describe","baseline","baseline_pattern","description","庚金合乙木正财，对待感情态度认真且具有较强的责任感。","","","1995-11-05","","natal:interaction:natal:stem_five_combination:natal_pillar:day:庚子__natal_pillar:year:乙亥 | natal:pillar:year"
